575.987;1243.49;
576.137;1243.17;
576.287;1243.18;
576.004;1243.2;
575.568;1243.25;
575.621;1243.21;
575.022;1243.44;
575.109;1243.33;
575.179;1243.38;
575.266;1242.96;
575.161;1243.14;
574.932;1243.06;
574.856;1242.62;
574.976;1242.92;
574.661;1242.98;
574.506;1243.1;
574.609;1243.02;
574.246;1243.08;
574.448;1243.11;
574.531;1243.2;
574.585;1243.56;
574.462;1243.35;
574.399;1243.46;
574.267;1243.5;
574.466;1243.74;
574.315;1244.44;
574.214;1245.48;
574.345;1247.63;
574.708;1250.1;
574.968;1252.97;
574.835;1256.84;
575.027;1261.18;
574.931;1266.58;
574.681;1272.32;
575.15;1278.73;
574.821;1285.39;
575.182;1292.64;
574.932;1300.87;
575.066;1309.69;
574.697;1319.27;
574.76;1329.16;
574.883;1340.03;
574.774;1351.57;
574.836;1363.09;
575.023;1375.79;
574.696;1388.84;
575.035;1402.73;
574.993;1416.83;
575.362;1431.33;
574.969;1446.81;
575.193;1463.18;
574.5;1479.21;
574.859;1496.49;
574.582;1514.98;
575.175;1532.97;
575.266;1552.13;
575.021;1571.81;
575.033;1591.84;
575.485;1613.76;
574.961;1634.03;
575.554;1655.86;
575.555;1678.39;
575.085;1701.17;
574.956;1724.47;
575.589;1749.64;
575.377;1773.62;
575.635;1798.73;
575.596;1819.72;
575.991;1810.92;
576.481;1796.84;
576.851;1782.15;
577.63;1769.06;
578.014;1756.23;
578.283;1744.04;
578.555;1732.9;
579.194;1721.47;
579.301;1711.33;
579.762;1701.99;
580.411;1693.07;
580.942;1684.96;
581.158;1677.26;
582.138;1671.07;
582.336;1665.27;
582.653;1660.2;
583.648;1654.59;
583.848;1650.83;
583.837;1647.4;
584.587;1644.39;
585.307;1642.62;
585.753;1640.69;
586.051;1640.12;
586.335;1639.95;
586.943;1640.29;
587.535;1640.96;
587.801;1642.7;
588.364;1645.19;
588.377;1647.91;
589.088;1650.96;
589.532;1655.56;
589.877;1660.1;
590.205;1665.14;
590.549;1671.26;
591.193;1677.99;
591.723;1685.25;
592.026;1693.55;
592.369;1701.84;
592.722;1710.61;
593.083;1720.95;
593.645;1730.99;
593.908;1742.64;
594.274;1753.92;
594.531;1766.35;
594.813;1779.47;
595.238;1792.53;
595.443;1806.41;
595.493;1819.95;
596.314;1819.22;
596.948;1811.08;
597.741;1803.1;
598.302;1796.08;
598.677;1788.9;
599.269;1783.08;
599.841;1777.77;
600.226;1772.4;
600.987;1768.8;
601.513;1765.31;
602.052;1762.18;
602.583;1759.91;
603.026;1758.21;
603.849;1757.41;
604.029;1756.79;
604.617;1757.41;
604.908;1758.21;
605.769;1759.73;
606.292;1761.92;
606.473;1764.61;
607.326;1767.89;
608.164;1772.29;
608.338;1777.1;
608.71;1782.47;
609.45;1788.38;
609.738;1795.28;
610.703;1802.56;
